MsgId  ,Size   ,• →               , → •              , ← •              ,• ←               
139    ,0      ,1482122592444126  ,1482122592466795  ,1482122592541850  ,1482122592697033  
140    ,0      ,1482122592443984  ,1482122592466774  ,1482122592541480  ,1482122592696474  
141    ,0      ,1482122592443946  ,1482122592466751  ,1482122592541391  ,1482122592695043  
142    ,0      ,1482122592462705  ,1482122592467421  ,1482122592545695  ,1482122592743027  
143    ,0      ,1482122592444507  ,1482122592466936  ,1482122592542620  ,1482122592699170  
144    ,0      ,1482122592444471  ,1482122592467043  ,1482122592543227  ,1482122592700057  
145    ,0      ,1482122592444337  ,1482122592466883  ,1482122592542133  ,1482122592696602  
146    ,0      ,1482122592444298  ,1482122592466863  ,1482122592542188  ,1482122592696838  
147    ,0      ,1482122592465429  ,1482122592467496  ,1482122592546143  ,1482122592743088  
148    ,0      ,1482122592444849  ,1482122592466995  ,1482122592542914  ,1482122592699170  
149    ,0      ,1482122592444811  ,1482122592466984  ,1482122592542847  ,1482122592698409  
150    ,0      ,1482122592444678  ,1482122592467336  ,1482122592545228  ,1482122592740048  
151    ,0      ,1482122592444640  ,1482122592466954  ,1482122592542746  ,1482122592696730  
152    ,0      ,1482122592466173  ,1482122592467549  ,1482122592546346  ,1482122592743065  
153    ,0      ,1482122592445211  ,1482122592467110  ,1482122592543717  ,1482122592705580  
154    ,0      ,1482122592445174  ,1482122592467074  ,1482122592543269  ,1482122592704088  
155    ,0      ,1482122592445020  ,1482122592467038  ,1482122592543006  ,1482122592700040  
156    ,0      ,1482122592444979  ,1482122592467008  ,1482122592543162  ,1482122592699507  
157    ,0      ,1482122592466555  ,1482122592491641  ,1482122592570746  ,1482122592743200  
158    ,0      ,1482122592445544  ,1482122592467235  ,1482122592544983  ,1482122592740061  
159    ,0      ,1482122592445510  ,1482122592467174  ,1482122592544461  ,1482122592739938  
160    ,0      ,1482122592445379  ,1482122592467153  ,1482122592544187  ,1482122592739450  
161    ,0      ,1482122592445344  ,1482122592467131  ,1482122592543951  ,1482122592739525  
162    ,0      ,1482122592490854  ,1482122592492835  ,1482122592571436  ,1482122592743291  
163    ,0      ,1482122592461191  ,1482122592467380  ,1482122592545385  ,1482122592740365  
164    ,0      ,1482122592460817  ,1482122592467246  ,1482122592545087  ,1482122592739881  
165    ,0      ,1482122592445711  ,1482122592467235  ,1482122592544916  ,1482122592739872  
166    ,0      ,1482122592445676  ,1482122592467199  ,1482122592544634  ,1482122592739590  
167    ,0      ,1482122592491265  ,1482122592493065  ,1482122592571832  ,1482122592743327  
168    ,0      ,1482122592462881  ,1482122592467447  ,1482122592545764  ,1482122592742669  
169    ,0      ,1482122592462384  ,1482122592467397  ,1482122592545449  ,1482122592740124  
